,record_id,user_id,role,education_level,subject_area,ai_tool,ai_use_purpose,ai_use_frequency_per_week,session_count,avg_session_duration_min,tasks_completed,hints_requested,text_feedback,sentiment_label,sentiment_polarity,subjectivity,emotion_primary,pre_test_score,post_test_score,improvement,adaptive_difficulty_start,adaptive_difficulty_end,recommended_resources_count,perceived_usefulness,perceived_ease_of_use,trust_score,adoption_intention,satisfaction_score,ethical_concern_privacy,ethical_concern_plagiarism,dropout_flag,timestamp
10,11,S275156,student,K-12,History,Speech Coach,note organization,2,27,17,73,4,"I evaluated the Speech Coach for note organization in History at the K-12 level; it improved my confidence with key goals noticeably.Feeling anticipation, the impact was modest and I cross-checked outputs to avoid plagiarism. In practice, this changed how I adapt my study plan and assessments. (note f31258)",neutral,0.027,0.507,anticipation,64,75,11,3,1,8,3,4,3,4,3,2,2,0,7/19/2023 8:10
11,12,S928494,student,K-12,Biology,Code Copilot,exam revision,3,24,24,60,5,"In this course I tested the Code Copilot for exam revision in Biology at the K-12 level; it made it easier to understand key goals moderately. – Feeling sadness, it added extra steps and I followed our policy on responsible AI use. As a result, my view of AI adoption in education is negative, slightly optimistic. (note e17927)",negative,-0.344,0.825,sadness,81,79,-2,1,4,1,3,4,3,1,3,3,3,0,1/9/2024 2:44
12,13,S739906,student,graduate,Economics,Quiz Generator,summarization,2,31,19,70,6,"I evaluated the Quiz Generator for summarization in Economics at the graduate level; it sped up my study of key goals noticeably.Feeling anxiety, it sometimes confused me and I followed our policy on responsible AI use. In practice, this changed how I adapt my study plan and assessments. (note a9f461)",negative,-0.268,0.852,anxiety,63,59,-4,2,3,6,3,2,2,3,2,5,4,0,5/4/2024 6:05
13,14,S278261,student,professional-development,Mathematics,AI Writing Helper,exam revision,5,24,16,37,8,"I regularly use the AI Writing Helper for exam revision in Mathematics at the professional-development level; it kept me engaged with key goals significantly.Feeling fear, it added extra steps and I still think about privacy and academic integrity. In practice, this changed how I adapt my study plan and assessments. (note dea1ef)",negative,-0.491,0.768,fear,75,73,-2,2,3,6,2,4,3,3,4,5,4,0,12/25/2023 5:19
14,15,S246014,student,K-12,Art and Design,Code Copilot,proofreading,2,27,17,21,13,"I evaluated the Code Copilot for proofreading in Art and Design at the K-12 level; it clarified key goals noticeably. — Feeling trust, I finished tasks faster than usual and I prefer clearer guidance on ethical use. In practice, this changed how I adapt my study plan and assessments. (note 6da113)",positive,0.42,0.52,trust,66,82,16,1,4,5,4,3,4,4,4,3,3,0,9/23/2023 18:34
15,16,S626017,student,K-12,English,Speech Coach,note organization,4,22,12,55,10,"Recently I explored the Speech Coach for note organization in English at the K-12 level; it gave me better feedback about key goals significantly. — Feeling anticipation, I felt more motivated and I cross-checked outputs to avoid plagiarism. In practice, this changed how I adapt my study plan and assessments. (note f34cb2)",positive,0.782,0.704,anticipation,83,99,16,1,3,11,4,3,4,4,5,3,4,0,6/3/2023 5:52
16,17,S605924,student,undergraduate,Computer Science,Speech Coach,brainstorming,3,20,21,72,5,"I briefly used the Speech Coach for brainstorming in Computer Science at the undergraduate level; it sped up my study of key goals noticeably. – Feeling optimism, students made fewer mistakes and I prefer clearer guidance on ethical use. In practice, this changed how I adapt my study plan and assessments. (note deed9a)",positive,0.232,0.449,optimism,60,59,-1,3,2,0,3,4,4,4,4,2,1,0,1/29/2023 2:09
17,18,S359685,student,undergraduate,Law,Explainability Bot,note organization,4,29,17,79,4,"I have been using the Explainability Bot for note organization in Law at the undergraduate level; it improved my confidence with key goals moderately.Feeling fear, the advice felt generic and I still think about privacy and academic integrity. This shaped my attitude toward AI tools in learning/teaching in a negative way. (note 7ee6e8)",negative,-0.32,0.562,fear,60,68,8,4,3,12,2,3,3,1,3,5,4,0,3/28/2024 10:47
18,19,S261949,student,graduate,Sociology,Quiz Generator,writing feedback,2,35,10,29,5,"Recently I explored the Quiz Generator for writing feedback in Sociology at the graduate level; it improved my confidence with key goals considerably. – Feeling trust, my class outcomes improved and I followed our policy on responsible AI use. This shaped my attitude toward AI tools in learning/teaching in a positive way. (note ad89ab)",positive,0.926,0.51,trust,49,69,20,2,2,5,5,3,3,4,5,3,2,0,2/12/2024 16:37
19,20,S433998,student,K-12,Chemistry,LLM Assistant,quiz practice,1,30,17,26,12,"I have been using the LLM Assistant for quiz practice in Chemistry at the K-12 level; it made it easier to understand key goals significantly.Feeling anticipation, the impact was modest and I still think about privacy and academic integrity. This shaped my attitude toward AI tools in learning/teaching in a neutral way. (note 8cd5b9)",neutral,0.041,0.392,anticipation,76,80,4,2,3,4,2,3,2,3,2,3,3,0,10/30/2023 17:29
20,21,S290370,student,K-12,English,Assessment Assistant,concept explanation,5,18,9,44,3,"I tried the Assessment Assistant for concept explanation in English at the K-12 level; it clarified key goals slightly.Feeling surprise, we could tackle harder problems and I still think about privacy and academic integrity. In practice, this changed how I adapt my study plan and assessments. (note b32c73)",positive,0.889,0.685,surprise,57,71,14,3,4,4,5,5,4,2,4,3,1,0,4/2/2023 9:31
21,22,S187810,student,undergraduate,History,AI Tutor,concept explanation,3,24,13,67,12,"Recently I explored the AI Tutor for concept explanation in History at the undergraduate level; it helped me grasp key goals significantly.Feeling sadness, it distracted from core skills and I remain cautious about fairness and transparency. This shaped my attitude toward AI tools in learning/teaching in a negative way. (note 9f7126)",negative,-0.941,0.947,sadness,59,62,3,1,2,7,3,2,1,3,1,4,5,0,10/2/2023 21:13
22,23,S427147,student,undergraduate,Business,Code Copilot,concept explanation,2,17,9,77,7,"I tried the Code Copilot for concept explanation in Business at the undergraduate level; it kept me engaged with key goals noticeably.Feeling trust, students made fewer mistakes and I cross-checked outputs to avoid plagiarism. This shaped my attitude toward AI tools in learning/teaching in a positive way. (note e9eb09)",positive,0.403,0.802,trust,73,90,17,2,2,4,1,3,4,4,4,2,3,0,2/7/2023 0:31
23,24,S781685,student,K-12,Economics,Speech Coach,coding help,3,19,16,27,11,"I experimented with the Speech Coach for coding help in Economics at the K-12 level; it helped me grasp key goals significantly.  Feeling anger, it added extra steps and I still think about privacy and academic integrity. In practice, this changed how I adapt my study plan and assessments. (note f9a8b9)",negative,-0.434,0.942,anger,66,70,4,4,4,6,3,2,3,3,1,5,3,0,5/24/2023 13:48
24,25,S158092,student,K-12,Art and Design,Assessment Assistant,note organization,3,23,23,79,4,"For my class I relied on the Assessment Assistant for note organization in Art and Design at the K-12 level; it gave me better feedback about key goals slightly.  Feeling anticipation, it was acceptable overall and I prefer clearer guidance on ethical use. In practice, this changed how I adapt my study plan and assessments. (note 661081)",neutral,0.02,0.546,anticipation,44,49,5,3,2,5,4,1,3,2,3,3,2,1,7/9/2023 5:22
25,26,S424584,student,K-12,English,LLM Assistant,quiz practice,2,15,17,43,6,"For my class I relied on the LLM Assistant for quiz practice in English at the K-12 level; it made it easier to understand key goals considerably.Feeling anticipation, my class outcomes improved and I followed our policy on responsible AI use. This shaped my attitude toward AI tools in learning/teaching in a positive way. (note f7581b)",positive,0.409,0.728,anticipation,55,72,17,2,3,8,3,4,4,4,4,2,3,0,1/6/2023 3:06
26,27,S760256,student,K-12,Psychology,Speech Coach,writing feedback,5,20,21,49,11,"Recently I explored the Speech Coach for writing feedback in Psychology at the K-12 level; it helped me grasp key goals . — Feeling anticipation, I noticed little difference and I cross-checked outputs to avoid plagiarism. In practice, this changed how I adapt my study plan and assessments. (note 1e9391)",neutral,0.053,0.56,anticipation,72,84,12,1,2,4,3,3,3,4,5,1,3,0,10/18/2023 21:07
27,28,S649199,student,undergraduate,Psychology,LLM Assistant,exam revision,3,26,15,31,4,"I briefly used the LLM Assistant for exam revision in Psychology at the undergraduate level; it kept me engaged with key goals . Feeling neutral, it was acceptable overall and I still think about privacy and academic integrity. In practice, this changed how I adapt my study plan and assessments. (note 135749)",neutral,-0.083,0.221,neutral,76,88,12,2,2,7,3,4,3,3,3,2,4,0,4/18/2023 12:51
28,29,S103475,student,undergraduate,Computer Science,Speech Coach,note organization,4,17,20,38,12,"In this course I tested the Speech Coach for note organization in Computer Science at the undergraduate level; it improved my confidence with key goals noticeably. – Feeling surprise, students made fewer mistakes and I followed our policy on responsible AI use. As a result, my view of AI adoption in education is positive, noticeably optimistic. (note b13158)",positive,0.25,0.768,surprise,78,88,10,3,2,5,4,4,4,4,3,3,4,0,3/18/2023 9:03
29,30,S401275,student,undergraduate,Psychology,Code Copilot,summarization,2,16,22,76,7,"I tried the Code Copilot for summarization in Psychology at the undergraduate level; it gave me better feedback about key goals slightly. Feeling anticipation, it was acceptable overall and I followed our policy on responsible AI use. As a result, my view of AI adoption in education is neutral,  optimistic. (note 75f40b)",neutral,-0.049,0.572,anticipation,47,54,7,4,1,8,3,2,4,2,3,4,3,0,8/4/2024 4:33
30,31,S404985,student,undergraduate,Biology,Curriculum Planner,language translation,1,13,10,22,14,"I tried the Curriculum Planner for language translation in Biology at the undergraduate level; it streamlined my work on key goals considerably. – Feeling joy, I observed improved strategies and I still think about privacy and academic integrity. This shaped my attitude toward AI tools in learning/teaching in a positive way. (note 7ddff7)",positive,0.945,0.675,joy,62,67,5,1,2,5,3,5,3,3,4,4,4,0,3/29/2023 16:08
31,32,S320944,student,K-12,Computer Science,AI Writing Helper,note organization,2,27,18,65,9,"I experimented with the AI Writing Helper for note organization in Computer Science at the K-12 level; it improved my confidence with key goals noticeably.Feeling optimism, I observed improved strategies and I followed our policy on responsible AI use. As a result, my view of AI adoption in education is positive, significantly optimistic. (note aab6e5)",positive,0.299,0.81,optimism,52,56,4,2,2,11,4,3,4,4,4,3,1,0,4/27/2023 0:00
32,33,S814696,student,undergraduate,Biology,AI Writing Helper,coding help,0,28,16,58,9,"I have been using the AI Writing Helper for coding help in Biology at the undergraduate level; it improved my confidence with key goals slightly. – Feeling optimism, I finished tasks faster than usual and I prefer clearer guidance on ethical use. As a result, my view of AI adoption in education is positive, slightly optimistic. (note 16d1eb)",positive,0.291,0.566,optimism,63,79,16,1,3,4,3,4,4,2,3,3,4,0,12/13/2023 13:35
33,34,S717796,student,K-12,Law,Assessment Assistant,concept explanation,2,24,9,101,9,"For my class I relied on the Assessment Assistant for concept explanation in Law at the K-12 level; it reduced my effort on key goals moderately.Feeling anger, it distracted from core skills and I prefer clearer guidance on ethical use. This shaped my attitude toward AI tools in learning/teaching in a negative way. (note c01402)",negative,-0.874,0.876,anger,78,83,5,3,3,5,3,3,4,2,2,5,5,0,6/2/2023 8:30
34,35,S761542,student,K-12,Law,Speech Coach,note organization,3,21,17,47,15,"For my class I relied on the Speech Coach for note organization in Law at the K-12 level; it gave me better feedback about key goals moderately. – Feeling joy, I finished tasks faster than usual and I cross-checked outputs to avoid plagiarism. This shaped my attitude toward AI tools in learning/teaching in a positive way. (note a0a663)",positive,0.237,0.766,joy,78,97,19,2,2,10,5,4,4,5,4,3,2,0,5/22/2023 21:59
35,36,S412236,student,K-12,Education,Explainability Bot,coding help,1,29,20,90,6,"In this course I tested the Explainability Bot for coding help in Education at the K-12 level; it kept me engaged with key goals moderately. – Feeling anticipation, I had to double-check suggestions and I cross-checked outputs to avoid plagiarism. This shaped my attitude toward AI tools in learning/teaching in a neutral way. (note 8c374d)",neutral,-0.003,0.534,anticipation,66,66,0,1,1,8,2,4,4,3,4,3,4,0,6/15/2023 2:33
36,37,S674394,student,K-12,Computer Science,AI Writing Helper,quiz practice,2,32,12,67,6,"I evaluated the AI Writing Helper for quiz practice in Computer Science at the K-12 level; it reduced my effort on key goals moderately.  Feeling anticipation, I noticed little difference and I cross-checked outputs to avoid plagiarism. This shaped my attitude toward AI tools in learning/teaching in a neutral way. (note cd981a)",neutral,-0.052,0.329,anticipation,64,73,9,2,3,9,4,2,4,4,2,4,2,0,1/21/2023 14:05
37,38,S622343,student,K-12,Chemistry,AI Writing Helper,note organization,4,24,17,77,7,"For my class I relied on the AI Writing Helper for note organization in Chemistry at the K-12 level; it helped me grasp key goals noticeably. — Feeling trust, my class outcomes improved and I still think about privacy and academic integrity. This shaped my attitude toward AI tools in learning/teaching in a positive way. (note 9d5ca3)",positive,0.269,0.848,trust,74,79,5,2,1,6,5,4,5,3,3,2,3,0,4/1/2024 14:44
38,39,S176690,student,K-12,Law,Speech Coach,language translation,3,25,21,53,7,"I briefly used the Speech Coach for language translation in Law at the K-12 level; it made it easier to understand key goals significantly. — Feeling fear, it distracted from core skills and I still think about privacy and academic integrity. As a result, my view of AI adoption in education is negative, moderately optimistic. (note 1d75df)",negative,-0.363,0.601,fear,84,83,-1,2,4,7,3,2,4,1,1,3,5,0,4/22/2023 23:55
39,40,S776861,student,undergraduate,English,Explainability Bot,note organization,3,24,10,62,8,"For my class I relied on the Explainability Bot for note organization in English at the undergraduate level; it improved my confidence with key goals significantly. – Feeling neutral, the pace felt unchanged and I still think about privacy and academic integrity. This shaped my attitude toward AI tools in learning/teaching in a neutral way. (note b0cdc0)",neutral,-0.08,0.35,neutral,56,54,-2,1,2,7,3,3,2,3,2,3,4,0,7/16/2023 13:14
40,41,S431724,student,undergraduate,Law,Code Copilot,language translation,2,18,23,62,5,"I tried the Code Copilot for language translation in Law at the undergraduate level; it improved my confidence with key goals significantly. – Feeling surprise, I observed improved strategies and I followed our policy on responsible AI use. As a result, my view of AI adoption in education is positive, slightly optimistic. (note e02bf0)",positive,0.385,0.88,surprise,23,34,11,3,4,4,4,4,5,3,4,2,3,0,11/11/2023 1:53
41,42,S337802,student,undergraduate,Education,Quiz Generator,coding help,1,28,15,51,10,"In this course I tested the Quiz Generator for coding help in Education at the undergraduate level; it gave me better feedback about key goals moderately. Feeling anticipation, students made fewer mistakes and I prefer clearer guidance on ethical use. This shaped my attitude toward AI tools in learning/teaching in a positive way. (note 5e7bed)",positive,0.349,0.799,anticipation,82,83,1,3,3,6,5,4,5,3,3,4,5,0,5/31/2024 2:18
42,43,S409259,student,K-12,Psychology,Curriculum Planner,exam revision,3,32,15,32,7,"I evaluated the Curriculum Planner for exam revision in Psychology at the K-12 level; it helped me grasp key goals considerably.Feeling trust, students made fewer mistakes and I still think about privacy and academic integrity. This shaped my attitude toward AI tools in learning/teaching in a positive way. (note 85bc43)",positive,0.564,0.855,trust,87,87,0,2,1,7,5,3,3,5,4,1,2,0,9/1/2024 4:59
43,44,S293047,student,K-12,Law,Quiz Generator,summarization,0,31,13,74,11,"For my class I relied on the Quiz Generator for summarization in Law at the K-12 level; it reduced my effort on key goals noticeably.Feeling fear, I worried about accuracy and I prefer clearer guidance on ethical use. As a result, my view of AI adoption in education is negative, moderately optimistic. (note 042bd5)",negative,-0.703,0.583,fear,56,55,-1,3,2,7,1,4,2,1,2,4,5,0,4/23/2024 1:05
44,45,S184686,student,K-12,Law,AI Tutor,note organization,2,16,30,58,6,"I tried the AI Tutor for note organization in Law at the K-12 level; it gave me better feedback about key goals considerably.  Feeling fear, it added extra steps and I prefer clearer guidance on ethical use. As a result, my view of AI adoption in education is negative, noticeably optimistic. (note 231138)",negative,-0.665,0.846,fear,50,46,-4,4,2,5,2,4,2,3,3,4,3,0,3/18/2024 2:59
45,46,S597585,student,K-12,Physics,Code Copilot,coding help,3,37,17,39,2,"I adopted the Code Copilot for coding help in Physics at the K-12 level; it sped up my study of key goals slightly.  Feeling joy, study sessions were more focused and I prefer clearer guidance on ethical use. As a result, my view of AI adoption in education is positive, considerably optimistic. (note c799d4)",positive,0.548,0.802,joy,68,78,10,2,3,2,5,4,4,4,5,3,2,0,7/19/2023 2:08
46,47,S823074,student,K-12,Biology,Explainability Bot,brainstorming,4,22,13,27,8,"For my class I relied on the Explainability Bot for brainstorming in Biology at the K-12 level; it reduced my effort on key goals noticeably.  Feeling neutral, I had to double-check suggestions and I remain cautious about fairness and transparency. As a result, my view of AI adoption in education is neutral, moderately optimistic. (note b0f311)",neutral,-0.095,0.317,neutral,51,53,2,3,3,10,3,3,3,3,4,3,3,0,4/21/2024 13:11
47,48,S910349,student,K-12,History,Quiz Generator,quiz practice,4,26,15,28,9,"I have been using the Quiz Generator for quiz practice in History at the K-12 level; it helped me grasp key goals considerably. – Feeling surprise, I observed improved strategies and I cross-checked outputs to avoid plagiarism. As a result, my view of AI adoption in education is positive, slightly optimistic. (note 075f49)",positive,0.259,0.499,surprise,69,81,12,2,2,6,4,4,4,4,4,3,2,0,9/11/2023 13:55
48,49,S175670,student,K-12,Computer Science,Code Copilot,summarization,3,31,22,53,7,"I have been using the Code Copilot for summarization in Computer Science at the K-12 level; it streamlined my work on key goals considerably.  Feeling anticipation, participation increased and I prefer clearer guidance on ethical use. This shaped my attitude toward AI tools in learning/teaching in a positive way. (note 441179)",positive,0.33,0.466,anticipation,49,65,16,1,2,5,5,4,3,3,3,3,3,0,8/29/2023 18:22
49,50,S308865,student,K-12,English,Code Copilot,proofreading,2,21,16,73,3,"I regularly use the Code Copilot for proofreading in English at the K-12 level; it improved my confidence with key goals significantly. – Feeling surprise, I felt more motivated and I followed our policy on responsible AI use. As a result, my view of AI adoption in education is positive, significantly optimistic. (note 85a2fc)",positive,0.341,0.432,surprise,66,87,21,3,2,8,3,4,5,5,2,3,4,0,9/9/2023 17:19
50,51,S342340,student,graduate,Law,Quiz Generator,brainstorming,2,27,27,47,9,"I have been using the Quiz Generator for brainstorming in Law at the graduate level; it sped up my study of key goals noticeably.Feeling fear, it distracted from core skills and I remain cautious about fairness and transparency. This shaped my attitude toward AI tools in learning/teaching in a negative way. (note 7330e7)",negative,-0.861,0.585,fear,65,56,-9,2,2,9,4,3,2,3,3,5,3,0,8/20/2024 6:37
51,52,S725105,student,undergraduate,Chemistry,Code Copilot,brainstorming,1,11,21,55,5,"I experimented with the Code Copilot for brainstorming in Chemistry at the undergraduate level; it reduced my effort on key goals considerably. Feeling trust, study sessions were more focused and I remain cautious about fairness and transparency. As a result, my view of AI adoption in education is positive, slightly optimistic. (note bf7120)",positive,0.233,0.9,trust,55,63,8,1,2,5,5,4,3,3,5,3,3,1,7/28/2023 0:23
52,53,S619700,student,undergraduate,Computer Science,Assessment Assistant,summarization,3,37,10,42,1,"For my class I relied on the Assessment Assistant for summarization in Computer Science at the undergraduate level; it streamlined my work on key goals slightly.  Feeling neutral, I had to double-check suggestions and I still think about privacy and academic integrity. In practice, this changed how I adapt my study plan and assessments. (note 45ea93)",neutral,0.028,0.246,neutral,72,75,3,1,2,9,3,3,4,2,2,5,3,0,10/5/2023 13:59
53,54,S119097,student,graduate,Engineering,Quiz Generator,proofreading,2,20,17,70,11,"I have been using the Quiz Generator for proofreading in Engineering at the graduate level; it reduced my effort on key goals moderately.Feeling anticipation, study sessions were more focused and I followed our policy on responsible AI use. As a result, my view of AI adoption in education is positive, moderately optimistic. (note 7fbcb4)",positive,0.353,0.403,anticipation,73,83,10,1,3,11,5,4,5,4,4,1,2,0,3/9/2024 3:52
54,55,S771787,student,graduate,Physics,AI Tutor,exam revision,3,24,22,89,13,"Recently I explored the AI Tutor for exam revision in Physics at the graduate level; it made it easier to understand key goals noticeably. Feeling anticipation, it was acceptable overall and I followed our policy on responsible AI use. This shaped my attitude toward AI tools in learning/teaching in a neutral way. (note 62eba0)",neutral,0.047,0.286,anticipation,61,62,1,1,2,7,4,3,3,3,3,3,5,0,6/15/2023 17:47
55,56,S145610,student,professional-development,Economics,Quiz Generator,brainstorming,4,19,12,45,8,"In this course I tested the Quiz Generator for brainstorming in Economics at the professional-development level; it guided my practice for key goals moderately. — Feeling anticipation, I had to double-check suggestions and I cross-checked outputs to avoid plagiarism. As a result, my view of AI adoption in education is neutral, noticeably optimistic. (note bd1e2c)",neutral,-0.083,0.556,anticipation,83,95,12,3,4,10,4,4,3,2,3,5,3,0,6/14/2023 21:51
56,57,S519163,student,graduate,English,Assessment Assistant,quiz practice,2,33,18,47,14,"I tried the Assessment Assistant for quiz practice in English at the graduate level; it sped up my study of key goals considerably.  Feeling trust, I felt more motivated and I followed our policy on responsible AI use. In practice, this changed how I adapt my study plan and assessments. (note dd5076)",positive,0.928,0.808,trust,74,90,16,2,3,8,5,5,5,4,5,2,3,0,7/29/2024 22:56
57,58,S423183,student,undergraduate,Physics,Assessment Assistant,quiz practice,3,23,13,54,3,"I briefly used the Assessment Assistant for quiz practice in Physics at the undergraduate level; it guided my practice for key goals noticeably.Feeling anticipation, I observed improved strategies and I remain cautious about fairness and transparency. As a result, my view of AI adoption in education is positive, noticeably optimistic. (note 768991)",positive,0.334,0.402,anticipation,70,83,13,1,3,10,5,5,4,4,4,3,5,0,4/21/2024 8:01
58,59,S551515,student,K-12,Engineering,Curriculum Planner,note organization,4,37,26,26,7,"I have been using the Curriculum Planner for note organization in Engineering at the K-12 level; it helped me grasp key goals significantly.Feeling joy, we could tackle harder problems and I remain cautious about fairness and transparency. In practice, this changed how I adapt my study plan and assessments. (note 440a3e)",positive,0.23,0.465,joy,59,78,19,4,2,7,5,3,3,3,5,2,4,0,11/18/2023 17:27
59,60,S615763,student,K-12,Engineering,AI Writing Helper,proofreading,3,31,27,43,4,"I briefly used the AI Writing Helper for proofreading in Engineering at the K-12 level; it clarified key goals noticeably.  Feeling optimism, participation increased and I cross-checked outputs to avoid plagiarism. In practice, this changed how I adapt my study plan and assessments. (note 20541e)",positive,0.658,0.526,optimism,71,76,5,1,3,7,3,4,4,5,2,4,3,0,9/20/2024 9:23
60,61,S348931,student,K-12,Mathematics,Code Copilot,writing feedback,1,15,20,48,8,"I regularly use the Code Copilot for writing feedback in Mathematics at the K-12 level; it helped me grasp key goals considerably.Feeling optimism, study sessions were more focused and I followed our policy on responsible AI use. In practice, this changed how I adapt my study plan and assessments. (note 032806)",positive,0.71,0.848,optimism,78,87,9,2,3,9,5,5,4,4,5,3,3,0,9/28/2023 3:55
61,62,S661723,student,undergraduate,Physics,Quiz Generator,concept explanation,1,31,13,47,2,"Recently I explored the Quiz Generator for concept explanation in Physics at the undergraduate level; it guided my practice for key goals considerably. — Feeling optimism, I finished tasks faster than usual and I prefer clearer guidance on ethical use. This shaped my attitude toward AI tools in learning/teaching in a positive way. (note b68366)",positive,0.633,0.58,optimism,58,70,12,1,2,6,3,3,3,3,5,2,3,0,3/28/2024 7:51
62,63,S427836,student,undergraduate,Education,LLM Assistant,proofreading,4,17,18,47,3,"I briefly used the LLM Assistant for proofreading in Education at the undergraduate level; it improved my confidence with key goals significantly.  Feeling surprise, I finished tasks faster than usual and I still think about privacy and academic integrity. In practice, this changed how I adapt my study plan and assessments. (note 5f6d4d)",positive,0.669,0.609,surprise,61,71,10,3,4,3,4,4,5,2,5,2,4,0,2/18/2023 4:30
63,64,S648498,student,K-12,History,Assessment Assistant,exam revision,2,20,18,76,8,"In this course I tested the Assessment Assistant for exam revision in History at the K-12 level; it clarified key goals significantly.  Feeling trust, I observed improved strategies and I still think about privacy and academic integrity. As a result, my view of AI adoption in education is positive,  optimistic. (note 01437a)",positive,0.353,0.712,trust,33,49,16,1,2,3,2,3,3,3,4,2,1,0,5/18/2023 0:28
